u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
828454010,1634769966,0,"[150577153, 150404727]","['path', 'track']",Haldenstrasse,,False,"[False, True]",23.6473609663125,"LINESTRING (8.2787669 47.59622, 8.2787405 47.5962698, 8.2785254 47.5962028)",,,,,,,
898792660,12077121357,0,1092972561,track,,,False,True,37.50389586472298,"LINESTRING (12.7509742 47.5962284, 12.751225 47.5962541, 12.7514678 47.5962255)",,,,,,,
910646759,910647110,0,62291576,track,404,,False,True,26.12844454411826,"LINESTRING (11.2582073 47.5962414, 11.2581124 47.5962737, 11.2579923 47.5962761, 11.2578874 47.5962341)",,,,,,,
910647110,910646759,0,62291576,track,404,,False,False,26.128444544118256,"LINESTRING (11.2578874 47.5962341, 11.2579923 47.5962761, 11.2581124 47.5962737, 11.2582073 47.5962414)",,,,,,,
950712821,10635576472,0,81558477,path,,,False,False,3.4958248169389954,"LINESTRING (-3.1486572 47.5962444, -3.148702 47.5962357)",,,,,,,
983584312,8388518077,0,"[208260112, 84673124]","['tertiary', 'residential']",Октябрьский переулок,,False,True,110.69318089238338,"LINESTRING (40.1534372 47.5962131, 40.1535544 47.5962654, 40.1538969 47.5962698, 40.153948 47.5962704, 40.1542203 47.596269, 40.1545628 47.5962486, 40.154883 47.5962078)",,,,,,,
986534608,986535205,0,84998484,track,,,False,False,18.876824841333082,"LINESTRING (13.4339415 47.5962084, 13.4338681 47.5962465, 13.4337099 47.596235)",,,,,,,
986535205,986534608,0,84998484,track,,,False,True,18.876824841333082,"LINESTRING (13.4337099 47.596235, 13.4338681 47.5962465, 13.4339415 47.5962084)",,,,,,,
1016378634,1016378834,0,790696539,tertiary,,D 125,False,False,29.14351510905031,"LINESTRING (-1.6871949 47.5962221, -1.6868077 47.5962448)",,,,,,,
1016378834,1016378634,0,790696539,tertiary,,D 125,False,True,29.14351510905031,"LINESTRING (-1.6868077 47.5962448, -1.6871949 47.5962221)",,,,,,,
1016870485,1016870620,0,87451303,track,,C 16,False,False,20.19651271486845,"LINESTRING (5.5148993 47.5962433, 5.5150375 47.5962144, 5.5151613 47.5962046)",,,,,,,
1016870620,1016870485,0,87451303,track,,C 16,False,True,20.19651271486845,"LINESTRING (5.5151613 47.5962046, 5.5150375 47.5962144, 5.5148993 47.5962433)",,,,,,,
1151639239,183004933,0,32354599,unclassified,Höhenreute,,False,False,30.20518009044052,"LINESTRING (9.7157102 47.5962337, 9.7161129 47.5962271)",,,,,,,
1151639239,369822633,0,32354599,unclassified,Höhenreute,,False,True,14.82012487724246,"LINESTRING (9.7157102 47.5962337, 9.7155128 47.5962271)",,,,,,,
1171136516,1171136530,0,101432847,service,,,False,True,41.29971108556803,"LINESTRING (7.625004 47.5962457, 7.6244533 47.5962519)",,,,,parking_aisle,,
1171136530,1171136516,0,101432847,service,,,False,False,41.29971108556803,"LINESTRING (7.6244533 47.5962519, 7.625004 47.5962457)",,,,,parking_aisle,,
1275640039,456360099,0,38550277,path,,,False,False,27.45579029122358,"LINESTRING (9.9277646 47.5962402, 9.9275807 47.5962344, 9.9274019 47.5962113)",,,,,,,
1314871437,1314871563,0,"[116687442, 116687436]",service,,,False,True,13.833275952128721,"LINESTRING (20.0477818 47.5962034, 20.0477773 47.5962688, 20.047732 47.5962184)",,,,,,,
1314871563,1314871437,0,"[116687442, 116687436]",service,,,False,False,13.833275952128721,"LINESTRING (20.047732 47.5962184, 20.0477773 47.5962688, 20.0477818 47.5962034)",,,,,,,
1343438168,5377345806,0,143247485,primary,Route 470,470,False,False,23.415647238812625,"LINESTRING (-58.9771156 47.5962164, -58.9774257 47.5962412)",,,,,,,
1345544183,5121227682,0,332742041,living_street,Sárkányfű utca,,False,False,4.376039583767698,"LINESTRING (19.1753323 47.5962455, 19.1753429 47.5962068)",20,,,,,,
