u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access
281495069,3535108141,0,25807423,,,footway,,False,True,19.727,"LINESTRING (-122.3156016 47.6007361, -122.3153817 47.6008335)",,,
281495069,3535108117,0,347092917,,,footway,,False,False,6.766,"LINESTRING (-122.3156016 47.6007361, -122.3156849 47.6007127)",,,
281495069,281495221,0,347092917,,,footway,,False,True,33.764,"LINESTRING (-122.3156016 47.6007361, -122.3152669 47.6007303, -122.3151801 47.6006789)",,,
281495077,3535108117,0,347092917,,,footway,,False,True,59.82099999999999,"LINESTRING (-122.3162335 47.6010086, -122.3162209 47.6009481, -122.3161767 47.6008866, -122.3160308 47.6007882, -122.3157819 47.6007766, -122.3157046 47.6007072, -122.3156849 47.6007127)",,,
281495204,3535108141,0,25807423,,,footway,,False,False,11.931000000000001,"LINESTRING (-122.3153235 47.6009196, -122.3153236 47.6008591, -122.3153817 47.6008335)",,,
281495221,281495069,0,347092917,,,footway,,False,False,33.764,"LINESTRING (-122.3151801 47.6006789, -122.3152669 47.6007303, -122.3156016 47.6007361)",,,
281495221,281495065,0,347092917,,,footway,,False,True,26.101,"LINESTRING (-122.3151801 47.6006789, -122.315018 47.6006782, -122.3148375 47.6007085)",,,
281495221,3535108111,0,347092923,,,footway,,False,True,31.429,"LINESTRING (-122.3151801 47.6006789, -122.3155175 47.6006735, -122.3155597 47.6006644, -122.3155936 47.6006538)",,,
281495274,281495387,0,25807464,,,footway,,False,True,3.717,"LINESTRING (-122.3153964 47.6014348, -122.3153983 47.6014014)",,,
281495274,9598129729,0,25807475,,,footway,,False,False,12.334,"LINESTRING (-122.3153964 47.6014348, -122.3154503 47.601435, -122.3154769 47.6014433, -122.3154943 47.6014574, -122.31551 47.6014923)",,,
281495274,9598129730,0,25807475,,,footway,,False,True,10.873000000000001,"LINESTRING (-122.3153964 47.6014348, -122.3153632 47.601435, -122.3153354 47.6014419, -122.3153204 47.6014563, -122.3153032 47.6014923)",,,
281495284,3535108139,0,347092916,2,,service,,False,False,14.021,"LINESTRING (-122.314476 47.6008296, -122.314289 47.6008294)",,,
281495284,3535108149,0,347092916,2,,service,,False,True,12.073,"LINESTRING (-122.314476 47.6008296, -122.3145846 47.6008297, -122.3146274 47.6008501)",,,
281495284,3535108173,0,347092925,1,,service,,False,False,92.689,"LINESTRING (-122.314476 47.6008296, -122.3144756 47.6009705, -122.3144743 47.6015111, -122.3145146 47.6015384, -122.3145509 47.6015522, -122.3146762 47.6015651)",,parking_aisle,
281495387,281495274,0,25807464,,,footway,,False,False,3.717,"LINESTRING (-122.3153983 47.6014014, -122.3153964 47.6014348)",,,
281496281,11082266293,0,25807591,,,service,,False,False,7.918,"LINESTRING (-122.3115992 47.5979141, -122.3114936 47.597914)",,,
281496281,11082266294,0,25807591,,,service,,False,True,7.822,"LINESTRING (-122.3115992 47.5979141, -122.3117035 47.5979128)",,,
281496281,11083487342,0,995035801,2,16th Avenue South,residential,20 mph,False,False,39.975,"LINESTRING (-122.3115992 47.5979141, -122.3116019 47.5975546)",,,
281496281,11082266257,0,995035801,2,16th Avenue South,residential,20 mph,False,True,38.93,"LINESTRING (-122.3115992 47.5979141, -122.3115971 47.5982642)",,,
281496396,11080212164,0,25807591,,,service,,False,False,7.228,"LINESTRING (-122.3127186 47.5983303, -122.3127172 47.5982653)",,,
281496396,11082266258,0,995035802,2,South King Street,residential,20 mph,False,False,76.13,"LINESTRING (-122.3127186 47.5983303, -122.3117033 47.5983342)",,,
281496396,11080212160,0,"[995035802, 1414487549, 1414487550]",2,South King Street,residential,20 mph,False,True,39.944,"LINESTRING (-122.3127186 47.5983303, -122.313075 47.598332, -122.313154 47.5983314, -122.3132513 47.5983311)",,,
281497326,11077810386,0,6506833,2,16th Avenue South,residential,20 mph,False,True,36.812,"LINESTRING (-122.3115881 47.5996107, -122.3115791 47.5999417)",,,
281497326,11077818735,0,25807751,,,service,,False,False,8.878,"LINESTRING (-122.3115881 47.5996107, -122.3117065 47.5996109)",,,
281497326,11077818734,0,25807751,,,service,,False,True,8.195,"LINESTRING (-122.3115881 47.5996107, -122.3114788 47.5996103)",,,
281497326,11078065684,0,6506833,2,16th Avenue South,residential,20 mph,False,False,32.092,"LINESTRING (-122.3115881 47.5996107, -122.3115856 47.5993515, -122.3115845 47.5993221)",,,
281498520,11077818738,0,25807920,,,service,,False,False,8.985,"LINESTRING (-122.3135331 47.6000185, -122.313533 47.5999377)",,,
281498520,11077810374,0,347092915,2,South Main Street,residential,20 mph,False,False,43.728,"LINESTRING (-122.3135331 47.6000185, -122.3129499 47.6000189)",,,
281498520,4117338894,0,347092915,2,South Main Street,residential,20 mph,False,True,11.982,"LINESTRING (-122.3135331 47.6000185, -122.3136929 47.6000189)",,,
283790787,5440429955,0,25806871,2,South Washington Street,residential,20 mph,False,False,23.944,"LINESTRING (-122.3215164 47.6008427, -122.3211971 47.6008388)",,,
