osmid,y,x,street_count,highway,ref,geometry,elevation
8795760236,47.615357,-122.3481025,3,,,POINT (-122.3481025 47.615357),48
8795760238,47.6157902,-122.348859,4,,,POINT (-122.348859 47.6157902),38
8795760240,47.6152725,-122.3495209,3,,,POINT (-122.3495209 47.6152725),31
8805311616,47.6209305,-122.3508527,3,,,POINT (-122.3508527 47.6209305),48
8805361567,47.619814,-122.3451678,3,,,POINT (-122.3451678 47.619814),39
8805362109,47.6198113,-122.3448591,3,,,POINT (-122.3448591 47.6198113),39
8805362114,47.6208206,-122.3439354,3,,,POINT (-122.3439354 47.6208206),36
8805371299,47.6198304,-122.3461624,3,,,POINT (-122.3461624 47.6198304),37
8805379893,47.6198168,-122.3464702,3,,,POINT (-122.3464702 47.6198168),37
8805399870,47.6219676,-122.3396512,4,,,POINT (-122.3396512 47.6219676),18
8815377349,47.6134717,-122.3488527,3,,,POINT (-122.3488527 47.6134717),24
8815377351,47.6139201,-122.3496176,3,,,POINT (-122.3496176 47.6139201),17
8815377353,47.6134736,-122.3488301,3,,,POINT (-122.3488301 47.6134736),24
8815377358,47.6134851,-122.3504745,3,,,POINT (-122.3504745 47.6134851),11
8815377359,47.6140208,-122.3497882,3,,,POINT (-122.3497882 47.6140208),17
8815377369,47.6146713,-122.3505201,3,,,POINT (-122.3505201 47.6146713),18
8815377373,47.6145768,-122.3507224,3,,,POINT (-122.3507224 47.6145768),18
8815377375,47.6140345,-122.3514134,3,,,POINT (-122.3514134 47.6140345),7
8815377377,47.6150222,-122.3514844,4,,,POINT (-122.3514844 47.6150222),20
8815377381,47.6150467,-122.3530993,3,,,POINT (-122.3530993 47.6150467),9
8815377382,47.6155756,-122.3524191,4,,,POINT (-122.3524191 47.6155756),16
8815377384,47.6151366,-122.35167,3,,,POINT (-122.35167 47.6151366),16
8815377385,47.6151194,-122.3516806,3,,,POINT (-122.3516806 47.6151194),16
8815377389,47.6155841,-122.3540287,4,,,POINT (-122.3540287 47.6155841),4
8815377390,47.6161217,-122.3533373,3,,,POINT (-122.3533373 47.6161217),10
8815377393,47.6156822,-122.3526006,4,,,POINT (-122.3526006 47.6156822),9
8815377394,47.615148,-122.3532895,3,,,POINT (-122.3532895 47.615148),9
8815377399,47.6157547,-122.3542877,3,,,POINT (-122.3542877 47.6157547),3
8815377400,47.6157563,-122.354241,3,,,POINT (-122.354241 47.6157563),3
8815377401,47.6162546,-122.3535989,3,,,POINT (-122.3535989 47.6162546),10
8815377402,47.6162869,-122.3536121,3,,,POINT (-122.3536121 47.6162869),10
8815377406,47.6163741,-122.353399,3,,,POINT (-122.353399 47.6163741),10
8815377412,47.6162669,-122.3531554,3,,,POINT (-122.3531554 47.6162669),14
8815377413,47.6167832,-122.3525194,3,,,POINT (-122.3525194 47.6167832),29
8815377414,47.6167938,-122.3525053,3,,,POINT (-122.3525053 47.6167938),29
8815377415,47.6163482,-122.3517551,3,,,POINT (-122.3517551 47.6163482),19
8815377416,47.6163375,-122.3517527,3,,,POINT (-122.3517527 47.6163375),19
8815398617,47.6158153,-122.3524274,3,,,POINT (-122.3524274 47.6158153),16
8815398618,47.6158104,-122.3524411,3,,,POINT (-122.3524411 47.6158104),16
8815398619,47.6162341,-122.3531507,3,,,POINT (-122.3531507 47.6162341),14
8815398633,47.6157052,-122.3522502,3,,,POINT (-122.3522502 47.6157052),16
8815398634,47.6157118,-122.3522416,3,,,POINT (-122.3522416 47.6157118),16
8815398635,47.6162328,-122.3515664,4,,,POINT (-122.3515664 47.6162328),27
8815398637,47.615802,-122.3508361,3,,,POINT (-122.3508361 47.615802),20
