osmid,y,x,street_count,highway,ref,geometry
3617997940,47.6130728,-122.34103,3,,,POINT (-122.34103 47.6130728)
3617997941,47.6134061,-122.3406266,3,,,POINT (-122.3406266 47.6134061)
3618284565,47.6131461,-122.3383281,3,,,POINT (-122.3383281 47.6131461)
3618284566,47.6128567,-122.338673,3,,,POINT (-122.338673 47.6128567)
3618284567,47.6130382,-122.3381481,3,,,POINT (-122.3381481 47.6130382)
3618284568,47.6127513,-122.3384954,3,,,POINT (-122.3384954 47.6127513)
3618304999,47.6126539,-122.3374401,4,traffic_signals,,POINT (-122.3374401 47.6126539)
3618542425,47.6085586,-122.3397419,3,,,POINT (-122.3397419 47.6085586)
3618542426,47.608775,-122.339196,3,,,POINT (-122.339196 47.608775)
3624229984,47.6005447,-122.3283973,1,,,POINT (-122.3283973 47.6005447)
3624229985,47.6005447,-122.3290114,3,,,POINT (-122.3290114 47.6005447)
3624229986,47.600713,-122.3284004,1,,,POINT (-122.3284004 47.600713)
3624229987,47.600713,-122.3290102,3,,,POINT (-122.3290102 47.600713)
3624229988,47.6004709,-122.328124,1,,,POINT (-122.328124 47.6004709)
3624229989,47.6008738,-122.3281239,3,,,POINT (-122.3281239 47.6008738)
3624229990,47.6004718,-122.327912,1,,,POINT (-122.327912 47.6004718)
3624229991,47.6008732,-122.3279134,3,,,POINT (-122.3279134 47.6008732)
3624236996,47.6002155,-122.3271648,3,,,POINT (-122.3271648 47.6002155)
3624236997,47.6003778,-122.3271665,1,,,POINT (-122.3271665 47.6003778)
3624236998,47.6003104,-122.3271659,3,,,POINT (-122.3271659 47.6003104)
3624236999,47.6003104,-122.3276675,3,,,POINT (-122.3276675 47.6003104)
3624237004,47.6005841,-122.3271741,1,,,POINT (-122.3271741 47.6005841)
3624237006,47.6004841,-122.3270263,3,,,POINT (-122.3270263 47.6004841)
3624237007,47.6007043,-122.3269471,1,,,POINT (-122.3269471 47.6007043)
3624237008,47.6005124,-122.3269309,1,,,POINT (-122.3269309 47.6005124)
3624353014,47.600341,-122.3268443,1,,,POINT (-122.3268443 47.600341)
3624353015,47.6005097,-122.3257933,1,,,POINT (-122.3257933 47.6005097)
3624427278,47.6024676,-122.327405,1,turning_circle,,POINT (-122.327405 47.6024676)
3624444494,47.6028208,-122.3282465,3,,,POINT (-122.3282465 47.6028208)
3626298844,47.6060186,-122.331715,3,,,POINT (-122.331715 47.6060186)
3626298846,47.6061635,-122.3317535,3,,,POINT (-122.3317535 47.6061635)
3626298848,47.606266,-122.3317727,1,,,POINT (-122.3317727 47.606266)
3626298855,47.6060218,-122.3321983,3,,,POINT (-122.3321983 47.6060218)
3627893212,47.6073075,-122.340869,1,,,POINT (-122.340869 47.6073075)
3627893213,47.6075245,-122.3403448,3,,,POINT (-122.3403448 47.6075245)
3627893214,47.6075202,-122.3408338,1,,,POINT (-122.3408338 47.6075202)
3627893216,47.607437,-122.3405561,3,,,POINT (-122.3405561 47.607437)
3629468762,47.6036173,-122.3350478,1,,,POINT (-122.3350478 47.6036173)
3629468763,47.6035535,-122.3352133,3,,,POINT (-122.3352133 47.6035535)
3629502457,47.6054806,-122.3331107,1,,,POINT (-122.3331107 47.6054806)
3629502458,47.6051806,-122.3329702,1,,,POINT (-122.3329702 47.6051806)
3629502459,47.6051058,-122.3329036,3,,,POINT (-122.3329036 47.6051058)
3629502475,47.6053871,-122.3345928,3,,,POINT (-122.3345928 47.6053871)
