y,x,street_count,highway,ref,geometry
47.6000344,-122.3276694,4,traffic_signals,,POINT (-122.3276694 47.6000344)
47.6000301,-122.326362,4,stop,,POINT (-122.326362 47.6000301)
47.6000228,-122.3237278,3,,,POINT (-122.3237278 47.6000228)
47.6208478,-122.3279267,3,,,POINT (-122.3279267 47.6208478)
47.6208434,-122.3252984,4,,,POINT (-122.3252984 47.6208434)
47.6210804,-122.3208841,4,traffic_signals,,POINT (-122.3208841 47.6210804)
47.6210872,-122.3199249,3,,,POINT (-122.3199249 47.6210872)
47.6210887,-122.3195667,3,,,POINT (-122.3195667 47.6210887)
47.618738,-122.3222024,4,,,POINT (-122.3222024 47.618738)
47.6199035,-122.3222157,4,,,POINT (-122.3222157 47.6199035)
47.6219978,-122.3220301,4,,,POINT (-122.3220301 47.6219978)
47.6231302,-122.3220157,4,,,POINT (-122.3220157 47.6231302)
47.6044432,-122.3368442,3,,,POINT (-122.3368442 47.6044432)
47.6051639,-122.3374718,4,,,POINT (-122.3374718 47.6051639)
47.6058843,-122.3381072,3,,,POINT (-122.3381072 47.6058843)
47.6030228,-122.335548,4,,,POINT (-122.335548 47.6030228)
47.6037447,-122.3362099,3,,,POINT (-122.3362099 47.6037447)
47.602201,-122.3293592,3,,,POINT (-122.3293592 47.602201)
47.6060838,-122.3282382,3,,,POINT (-122.3282382 47.6060838)
47.6062983,-122.3277234,4,,,POINT (-122.3277234 47.6062983)
47.6065278,-122.3271726,4,,,POINT (-122.3271726 47.6065278)
47.6074564,-122.3249438,4,,,POINT (-122.3249438 47.6074564)
47.607893,-122.3238935,3,,,POINT (-122.3238935 47.607893)
47.6083724,-122.3227189,3,,,POINT (-122.3227189 47.6083724)
47.6032617,-122.3349486,4,traffic_signals,,POINT (-122.3349486 47.6032617)
47.6037219,-122.3338129,4,traffic_signals,,POINT (-122.3338129 47.6037219)
47.6041943,-122.3327164,4,traffic_signals,,POINT (-122.3327164 47.6041943)
47.6046716,-122.3316087,4,traffic_signals,,POINT (-122.3316087 47.6046716)
47.6051141,-122.3305267,4,traffic_signals,,POINT (-122.3305267 47.6051141)
47.605604,-122.3293327,3,,,POINT (-122.3293327 47.605604)
47.6232149,-122.338463,4,traffic_signals,,POINT (-122.338463 47.6232149)
47.6232095,-122.3358545,4,stop,,POINT (-122.3358545 47.6232095)
47.6231662,-122.3343428,4,traffic_signals,,POINT (-122.3343428 47.6231662)
47.623133,-122.3317375,4,,,POINT (-122.3317375 47.623133)
47.6231311,-122.3304388,4,,,POINT (-122.3304388 47.6231311)
47.6232727,-122.3567162,4,traffic_signals,,POINT (-122.3567162 47.6232727)
47.6232704,-122.3541138,3,,,POINT (-122.3541138 47.6232704)
47.6086732,-122.3405392,3,,,POINT (-122.3405392 47.6086732)
47.6088449,-122.3400015,5,traffic_signals,,POINT (-122.3400015 47.6088449)
47.6092891,-122.3389319,4,traffic_signals,,POINT (-122.3389319 47.6092891)
47.6097652,-122.3378196,4,traffic_signals,,POINT (-122.3378196 47.6097652)
47.6102141,-122.3367371,4,traffic_signals,,POINT (-122.3367371 47.6102141)
47.6106961,-122.3355778,4,traffic_signals,,POINT (-122.3355778 47.6106961)
47.6111517,-122.3344825,4,traffic_signals,,POINT (-122.3344825 47.6111517)
47.6116191,-122.3333583,4,traffic_signals,,POINT (-122.3333583 47.6116191)
47.6120871,-122.3322335,4,traffic_signals,,POINT (-122.3322335 47.6120871)
47.6134803,-122.3289162,4,traffic_signals,,POINT (-122.3289162 47.6134803)
47.6139394,-122.327808,4,traffic_signals,,POINT (-122.327808 47.6139394)
47.6054068,-122.3368943,4,traffic_signals,,POINT (-122.3368943 47.6054068)
47.6058727,-122.3357869,4,traffic_signals,,POINT (-122.3357869 47.6058727)
