u,v,key,osmid,highway,oneway,reversed,length,lanes,maxspeed,name,access,service,geometry,bridge,tunnel,ref
298262463,11448696300,0,"[1157540884, 1233743287]",footway,False,"[False, True]",84.31222163893514,,,,customers,,"LINESTRING (-122.3305862 47.5962872, -122.3306499 47.5962576, -122.3307215 47.5962493, -122.3307426 47.5962508, -122.3307638 47.5962613, -122.3315957 47.5965369)",,,
298272439,8009016183,0,1039616130,footway,False,True,21.30584175935617,,,,,,"LINESTRING (-122.3200032 47.6011224, -122.3199426 47.6009352)",,,
298272439,298272510,0,675720750,footway,False,False,46.853200687414784,,,,,,"LINESTRING (-122.3200032 47.6011224, -122.3201619 47.6010973, -122.3204761 47.6010976, -122.3206177 47.6011259)",,,
298272439,11064270205,0,"[1191716465, 1039616130]",footway,False,False,26.982115729412392,,,,,,"LINESTRING (-122.3200032 47.6011224, -122.31993 47.6011341, -122.3198659 47.6009471)",,,
298272510,6328001037,0,675720750,footway,False,False,22.920688110740493,,,,,,"LINESTRING (-122.3206177 47.6011259, -122.3209234 47.6011264)",,,
298272510,298272439,0,675720750,footway,False,True,46.85320068741479,,,,,,"LINESTRING (-122.3206177 47.6011259, -122.3204761 47.6010976, -122.3201619 47.6010973, -122.3200032 47.6011224)",,,
321184113,2475509994,0,14024009,footway,False,True,20.227245681962835,,,,,,"LINESTRING (-122.3547031 47.6164822, -122.3545524 47.6163313)",,,
321184113,3616084940,0,14024009,footway,False,False,70.76510342866203,,,,,,"LINESTRING (-122.3547031 47.6164822, -122.3548307 47.6166042, -122.3553913 47.6169116)",,,
321184113,8883327677,0,"[808139323, 361785340, 361785339]",footway,False,False,92.62251031931828,,,Moseley Path,,,"LINESTRING (-122.3547031 47.6164822, -122.3540226 47.6162037, -122.3538776 47.6161834, -122.3538598 47.6162092, -122.3537667 47.6162752, -122.3536898 47.6163321)",,building_passage,
321184113,3616084945,0,808139323,footway,False,True,62.31090184662174,,,Moseley Path,,,"LINESTRING (-122.3547031 47.6164822, -122.3551759 47.6166948, -122.3554209 47.6167592)",,,
321336630,29938143,0,1314104307,footway,False,True,13.325165681042703,,,,,,"LINESTRING (-122.3579641 47.6168927, -122.3578197 47.6169626)",,,
321336630,1565882706,0,725186809,footway,False,False,26.055624762646307,,,,,,"LINESTRING (-122.3579641 47.6168927, -122.3579819 47.6169207, -122.3579998 47.616959, -122.3580888 47.6170801, -122.3581133 47.6171034)",,,
321336634,2602495155,0,29214061,footway,False,True,41.65321915266489,,,,,,"LINESTRING (-122.3588174 47.6174063, -122.3587401 47.6174238, -122.3585944 47.6174323, -122.3585019 47.6174171, -122.3584221 47.6173926, -122.3582935 47.6173474)",,,
321336634,1565882706,0,725186809,footway,False,True,63.2244989473176,,,,,,"LINESTRING (-122.3588174 47.6174063, -122.3587733 47.6173644, -122.3587066 47.6173368, -122.3585767 47.6172924, -122.358433 47.6172437, -122.3583321 47.6172072, -122.3582408 47.6171653, -122.3581582 47.61713, -122.3581305 47.6171133, -122.3581133 47.6171034)",,,
424232367,9554600248,0,1037177917,footway,False,False,2.3619608389980553,,,,,,"LINESTRING (-122.330893 47.6019941, -122.3308657 47.6020047)",,,
439912349,5273254274,0,492435025,footway,False,True,33.31962842744838,,,,,,"LINESTRING (-122.3317086 47.6033225, -122.3314916 47.603061)",,yes,
544349740,2295291000,0,220402629,footway,False,True,12.790607169044796,,,,,,"LINESTRING (-122.3575818 47.6167508, -122.357715 47.6166789)",,,
639371820,639371822,0,50330702,footway,False,False,71.22886226365415,,,,,,"LINESTRING (-122.3533758 47.6131885, -122.3530626 47.6131846, -122.353061 47.613614)",,,
639371822,10666269616,0,51692264,footway,False,False,32.27012392650194,,,,,,"LINESTRING (-122.353061 47.613614, -122.3534915 47.6136143)",,,
639371822,10666269615,0,51692264,footway,False,True,12.308370962831678,,,,,,"LINESTRING (-122.353061 47.613614, -122.3528968 47.6136139)",,,
639371822,639371820,0,50330702,footway,False,True,71.22886226365415,,,,,,"LINESTRING (-122.353061 47.613614, -122.3530626 47.6131846, -122.3533758 47.6131885)",,,
657654537,281299348,0,25790590,footway,False,False,4.6711334628567,,,,,,"LINESTRING (-122.3326709 47.6218594, -122.3326501 47.6218198)",,,
657654537,5767146001,0,25790590,footway,False,True,4.171539574248859,,,,,,"LINESTRING (-122.3326709 47.6218594, -122.3326693 47.6218969)",,,
657654537,5767146006,0,"[51476456, 25999723, 68667511]",footway,False,True,27.54400385787211,,,,,,"LINESTRING (-122.3326709 47.6218594, -122.3326947 47.6218209, -122.3327151 47.6218067, -122.3327812 47.6217673, -122.3328651 47.6216905, -122.3329001 47.6216698)",yes,,
659882347,5317640486,0,550552268,footway,False,False,1.4947866989181051,,,,,,"LINESTRING (-122.3376154 47.6060069, -122.3376262 47.6060182)",,,
659882347,5317640487,0,550552268,footway,False,True,78.13581883288884,,,,,,"LINESTRING (-122.3376154 47.6060069, -122.3370818 47.605432, -122.3370817 47.6054075)",,,
659882517,10666269616,0,51692264,footway,False,True,121.5395310401652,,,,,,"LINESTRING (-122.3551129 47.6136152, -122.3534915 47.6136143)",,,
661057175,668442223,0,"[332471602, 1201240163, 737749765]",footway,False,True,72.76732720589378,,,,,,"LINESTRING (-122.339864 47.6020234, -122.3399673 47.602102, -122.3399702 47.6021535, -122.3393784 47.6021768, -122.3392331 47.6021825)",yes,,
668442223,6898833120,0,332471602,footway,False,True,8.762172598018923,,,,,,"LINESTRING (-122.3392331 47.6021825, -122.3392331 47.6022613)",,,
668442223,661057175,0,"[332471602, 1201240163, 737749765]",footway,False,False,72.76732720589379,,,,,,"LINESTRING (-122.3392331 47.6021825, -122.3393784 47.6021768, -122.3399702 47.6021535, -122.3399673 47.602102, -122.339864 47.6020234)",yes,,
