Offense ID,Offense Date,Latitude,Longitude,Offense DateTime,Offense Type,Crime Score,Hour
62073340807,12/31/2024 05:21:00 PM,47.60129045,-122.3263524,2024-12-31 17:21:00,Assault,8.0,17
57982821316,07/30/2024 09:20:00 AM,47.60774722,-122.33365866615,2024-07-30 09:20:00,Motor Vehicle Theft,3.0,9
62059084863,12/21/2024 05:00:00 PM,47.61508492,-122.347420341462,2024-12-21 17:00:00,Property Offenses,4.0,17
64583904288,06/18/2025 10:30:00 AM,47.62387911,-122.339745922807,2025-06-18 10:30:00,Larceny,4.0,10
60387400773,11/04/2024 07:28:00 AM,47.60912517,-122.341311217104,2024-11-04 07:28:00,Burglary,4.0,7
57953926809,07/28/2024 07:59:00 AM,47.60875623,-122.336884598959,2024-07-28 07:59:00,Narcotics,6.0,7
59396627850,09/19/2024 11:54:00 AM,47.6158384,-122.318168850187,2024-09-19 11:54:00,DUI,5.0,11
60167856769,10/20/2024 02:30:00 PM,47.61160635,-122.333353806697,2024-10-20 14:30:00,Motor Vehicle Theft,3.0,14
60782489887,11/10/2024 05:47:00 PM,47.60337608,-122.33349843386,2024-11-10 17:47:00,Aggravated Assault,10.0,17
58464852808,08/19/2024 12:50:00 PM,47.609517,-122.338348,2024-08-19 12:50:00,Larceny,4.0,12
58656874393,08/30/2024 12:55:00 PM,47.61779444,-122.353992053847,2024-08-30 12:55:00,Property Offenses,4.0,12
62927358885,02/26/2025 10:38:00 AM,47.60928514,-122.338903688909,2025-02-26 10:38:00,Fraud/Bribery,2.0,10
62179688509,01/06/2025 02:21:00 PM,47.60241241,-122.331082200967,2025-01-06 14:21:00,Assault,8.0,14
64560082052,06/15/2025 12:45:00 PM,47.61916008,-122.348892068075,2025-06-15 12:45:00,Larceny,4.0,12
63641275003,04/15/2025 06:34:00 AM,47.61410022,-122.323926631272,2025-04-15 06:34:00,Burglary,4.0,6
