OBJECTID,YEAR,RACE,TENURE,AGE,F0___30_,F30___50_,F50___80_,F80___120_,Above_120_,All_
881,2016,Pacific Islander,Renters,Children,1,0,0,0,0,1
882,2016,Pacific Islander,Renters,Seniors,0,0,0,0,0,0
883,2016,White,All,All,0.756010518407213,0.436496669214808,0.147879177377892,0.0169967984590958,0.00473970812459159,0.147953308207705
884,2016,White,All,Children,0.857642626480086,0.078804347826087,0.101544319864608,0.00550891920251836,0.0141599032982214,0.0910870219813309
885,2016,White,All,Seniors,0.640236228095653,0.417836609172349,0.107278191558866,0.0440482433141059,0.0058008658008658,0.191286835582484
886,2016,White,Owners,All,0.723774622079707,0.511278195488722,0.244555945810336,0.0411773029574077,0.00727496422696819,0.101013100122364
887,2016,White,Owners,Children,0.802597402597403,0.254416961130742,0.271646859083192,0.011830985915493,0.0179086223464663,0.0554264625478404
888,2016,White,Owners,Seniors,0.656919513607412,0.519864490298737,0.149550108594477,0.0667559296097934,0.0073918799646955,0.147896634615385
889,2016,White,Renters,All,0.766528822679488,0.402540690750298,0.102339872370598,0.00292361540045295,0,0.192127277653593
890,2016,White,Renters,Children,0.872029871011541,0.0370058873002523,0,0,0,0.151654091700522
891,2016,White,Renters,Seniors,0.631854545454545,0.339555765595463,0.0765237020316027,0.0164847921987462,0,0.249476144422953
892,2017,All,All,All,0.688302457813646,0.46967267607837,0.192401138440891,0.0370665168399039,0.00323121813659893,0.161421538442872
893,2017,All,All,Children,0.733120834540713,0.536243600107788,0.173147468818782,0.0199062195877201,0.00698759834644619,0.132462382932134
894,2017,All,All,Seniors,0.565317255239736,0.379219475467436,0.230280217482225,0.0647482014388489,0,0.202285602656769
895,2017,All,Owners,All,0.738283239938869,0.497922699232028,0.251578223638977,0.0742230473047305,0.005162488006341,0.104812267966268
896,2017,All,Owners,Children,0.959356477561389,0.67650158061117,0.290252511539506,0.0392944463849109,0.00873362445414847,0.0801916317588714
897,2017,All,Owners,Seniors,0.62013165112452,0.414840242936361,0.24904319300164,0.0712654614652712,0,0.145469829153035
898,2017,All,Renters,All,0.677329157812325,0.456943498978897,0.157616283341906,0.00617389813068084,0,0.212746884127122
899,2017,All,Renters,Children,0.686418458311484,0.488052136133237,0.0771968854282536,0,0,0.215807454608268
900,2017,All,Renters,Seniors,0.545887614232938,0.346963175514108,0.200689803837034,0.0379499217527387,0,0.292730560578662
901,2017,Asian,All,All,0.574238391008577,0.606203267792855,0.376175548589342,0.0341500331094504,0,0.195079966880202
902,2017,Asian,All,Children,0.293782087849401,0.751366120218579,0.676470588235294,0.0425912670007158,0,0.177667190501135
903,2017,Asian,All,Seniors,0.497854077253219,0.675869120654397,0.257824143070045,0.110856619331196,0,0.23860149057431
904,2017,Asian,Owners,All,0.667399267399267,0.641944990176817,0.43545123431809,0.0667340748230536,0,0.169428571428571
905,2017,Asian,Owners,Children,0.725714285714286,0.646341463414634,0.803673938002296,0.12781954887218,0,0.1818752944872
906,2017,Asian,Owners,Seniors,0.768518518518518,0.757785467128028,0.234519104084321,0.0928891736066624,0,0.181916426512968
