OBJECTID,YEAR,AMI,RACE,TENURE,AGE,TOTAL,BURDEN30,BURDEN3050,BURDEN50,NODATA,NOBURDEN,PERCENT30,PERCENT3050,PERCENT50,PERCENT_NODATA,PERCENT_NOBURDEN,INCOME,COSTS
2175,2010,50 - 80%,Multi,Owners,Children,347,347,0,347,0,0,1,0,1,0,0,51200,2730
2176,2010,50 - 80%,Multi,Renters,All,994,181,181,0,0,813,0.182092555331992,0.182092555331992,0,0,0.817907444668008,45573.8832997988,939.819
2177,2010,50 - 80%,Multi,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2178,2010,50 - 80%,Multi,Renters,Children,308,0,0,0,0,308,0,0,0,0,1,50417.8571428571,602.5
2179,2010,50 - 80%,Hispanic,All,All,2027,506,420,86,0,1521,0.249629995066601,0.207202762703503,0.0424272323630982,0,0.750370004933399,46428.6137148495,903.414
2180,2010,50 - 80%,Hispanic,All,Seniors,84,0,0,0,0,84,0,0,0,0,1,32010,580
2181,2010,50 - 80%,Hispanic,All,Children,948,305,219,86,0,643,0.321729957805907,0.231012658227848,0.0907172995780591,0,0.678270042194093,49985.1898734177,1006.309
2182,2010,50 - 80%,Hispanic,Owners,All,490,188,102,86,0,302,0.383673469387755,0.208163265306122,0.175510204081633,0,0.616326530612245,53160.8163265306,1263.588
2183,2010,50 - 80%,Hispanic,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2184,2010,50 - 80%,Hispanic,Owners,Children,416,188,102,86,0,228,0.451923076923077,0.245192307692308,0.206730769230769,0,0.548076923076923,51890.8653846154,1301.938
2185,2010,50 - 80%,Hispanic,Renters,All,1537,318,318,0,0,1219,0.206896551724138,0.206896551724138,0,0,0.793103448275862,44282.3682498373,865.655
2186,2010,50 - 80%,Hispanic,Renters,Seniors,84,0,0,0,0,84,0,0,0,0,1,32010,580
2187,2010,50 - 80%,Hispanic,Renters,Children,532,117,117,0,0,415,0.219924812030075,0.219924812030075,0,0,0.780075187969925,48495.037593985,908.355
2188,2010,80 - 120%,All,All,All,50791,15582,13086,2496,0,35209,0.306786635427536,0.257644070799945,0.0491425646275915,0,0.693213364572464,69918.3302159832,1467.66
2189,2010,80 - 120%,All,All,Seniors,7498,2168,1296,872,0,5330,0.289143771672446,0.172846092291278,0.116297679381168,0,0.710856228327554,66111.9663910376,1354.866
