osmid,y,x,street_count,highway,ref,railway,geometry
9647432547,47.6233778,-122.3566178,3,,,,POINT (-122.3566178 47.6233778)
9647432548,47.6233553,-122.3565783,3,,,,POINT (-122.3565783 47.6233553)
9647432637,47.6233807,-122.3568427,3,,,,POINT (-122.3568427 47.6233807)
9669384645,47.6208551,-122.354039,3,,,,POINT (-122.354039 47.6208551)
9669384648,47.6208606,-122.352968,3,,,,POINT (-122.352968 47.6208606)
9669384656,47.6198386,-122.3529884,3,,,,POINT (-122.3529884 47.6198386)
9669384658,47.6198497,-122.3540462,3,,,,POINT (-122.3540462 47.6198497)
9669384660,47.6210006,-122.3474669,3,,,,POINT (-122.3474669 47.6210006)
9669384663,47.6219972,-122.3474659,4,,,,POINT (-122.3474659 47.6219972)
9669384669,47.6219618,-122.3464053,3,,,,POINT (-122.3464053 47.6219618)
9669384680,47.6219862,-122.3461324,4,,,,POINT (-122.3461324 47.6219862)
9669384684,47.6219914,-122.3451684,3,,,,POINT (-122.3451684 47.6219914)
9669384687,47.6209846,-122.3451757,3,,,,POINT (-122.3451757 47.6209846)
9669384689,47.6219553,-122.3451634,3,,,,POINT (-122.3451634 47.6219553)
9669384695,47.6221907,-122.3451339,3,,,,POINT (-122.3451339 47.6221907)
9669384699,47.6232008,-122.3445447,3,,,,POINT (-122.3445447 47.6232008)
9669384706,47.6222013,-122.3448366,3,,,,POINT (-122.3448366 47.6222013)
9669384708,47.6221671,-122.3447986,3,,,,POINT (-122.3447986 47.6221671)
9669384716,47.6221641,-122.3439404,3,,,,POINT (-122.3439404 47.6221641)
9669425730,47.619637,-122.3396605,3,,,,POINT (-122.3396605 47.619637)
9669425732,47.619617,-122.3396814,3,,,,POINT (-122.3396814 47.619617)
9669425735,47.6186516,-122.3396781,3,,,,POINT (-122.3396781 47.6186516)
9706325064,47.6094407,-122.3314415,3,,,,POINT (-122.3314415 47.6094407)
9706325066,47.6090251,-122.3314244,3,,,,POINT (-122.3314244 47.6090251)
9730444589,47.614004,-122.3256349,4,,,,POINT (-122.3256349 47.614004)
9730444590,47.6140034,-122.3254062,3,,,,POINT (-122.3254062 47.6140034)
9730444595,47.6140148,-122.3269553,3,,,,POINT (-122.3269553 47.6140148)
9730444597,47.6139983,-122.3267391,3,,,,POINT (-122.3267391 47.6139983)
9730444601,47.6138855,-122.3276297,3,,,,POINT (-122.3276297 47.6138855)
9731771112,47.6142798,-122.3335145,1,,,,POINT (-122.3335145 47.6142798)
9737054620,47.6022982,-122.3184601,3,,,,POINT (-122.3184601 47.6022982)
9737054627,47.6019326,-122.3181157,3,,,,POINT (-122.3181157 47.6019326)
9777617302,47.6031238,-122.3194498,3,,,,POINT (-122.3194498 47.6031238)
9791414997,47.6184571,-122.3454164,3,,,,POINT (-122.3454164 47.6184571)
9813032890,47.6004792,-122.325061,3,,,,POINT (-122.325061 47.6004792)
9813032891,47.6006146,-122.3248977,3,,,,POINT (-122.3248977 47.6006146)
9813032894,47.6007107,-122.3249903,3,,,,POINT (-122.3249903 47.6007107)
9813032900,47.6006254,-122.3247711,4,,,,POINT (-122.3247711 47.6006254)
9813032902,47.6005182,-122.3247709,3,,,,POINT (-122.3247709 47.6005182)
9813032904,47.6004568,-122.3243972,3,,,,POINT (-122.3243972 47.6004568)
9813032905,47.6004361,-122.324531,3,,,,POINT (-122.324531 47.6004361)
9813032910,47.6002844,-122.3244098,3,,,,POINT (-122.3244098 47.6002844)
9813032912,47.6007604,-122.3248057,3,,,,POINT (-122.3248057 47.6007604)
