,OBJECTID,SUBTYPECD,HEIGHT,ASSET_ID,HasStreetlight,Field,geometry
50782,50783,1,0,1367690,Yes,,POINT (-122.335372883839 47.6061202170345)
50885,50886,1,0,1367561,Yes,,POINT (-122.335101975386 47.605318138466)
50886,50887,1,0,1367598,Yes,,POINT (-122.336203482221 47.605618051858)
50887,50888,1,0,1367555,Yes,,POINT (-122.335816374042 47.6057287490303)
50888,50889,1,0,1367575,Yes,,POINT (-122.335339541261 47.60520023665)
50889,50890,1,0,1367559,Yes,,POINT (-122.335415584525 47.6051303736611)
50890,50891,1,0,1367564,Yes,,POINT (-122.336351564328 47.6049871800213)
50891,50892,1,0,1367573,Yes,,POINT (-122.336474414746 47.6051278664244)
50892,50893,1,0,1367567,Yes,,POINT (-122.334874038654 47.6050640716837)
50893,50894,1,0,1367566,Yes,,POINT (-122.334716340065 47.6048917086826)
50894,50895,1,0,1367570,Yes,,POINT (-122.334618368121 47.6047897127913)
50895,50896,1,0,1367651,Yes,,POINT (-122.33498895671 47.6048123661659)
50896,50897,1,0,1367654,Yes,,POINT (-122.33486311514 47.6046854891766)
